@relation training_data

@attribute text string
@attribute emotion {positive,neutral,negative}

@data
' it was hilarious ',positive
' But not something to be taken literally, we re just insane girls ',neutral
' i\'m chatting with someone on Gaia, they seem to have a lot in common with me n.n it\'s fun ',positive
' neh ',neutral
' Cassy said she\'ll be back Sunday night ',neutral
' I can live with that, I wish I had something to do though._.; I feel lonely ',negative
' Yep ',neutral
' I dunno what else to say though except it\'s shocking that i\'m updating early 'positive
' Other than that I also got a extension from my affiliate to get the fanlisiting I adopted up since the server move and etc. Meh, I miss Cassy ',negative
' T_T eheh ',neutral
' But heh, thats basically it ',neutral
' Well short one anyway ',neutral
' It\'s yet another white man insensitivity subject that even has socialists and revolutionaries saying  hey, hold on a second!  ',neutral
' Yes, the veils that many Muslim women around the world traditionally wear ',neutral
' Listen ',neutral
' Let\'s clarify ',neutral
' The veil is often interpreted as being the ninja outfit, where womens heads are completely covered so as to see only the eyes, or in some cases nothing at all ',neutral
' This is called the nikab ',neutral
' Hijab in Islam actually means modesty or privacy ',neutral
' The khimar is the actual headscarf ',neutral
' Islam requires women to be modest, henceforth many of them wear the hijab, or headscarf ',neutral
' A Fatwa, or Islamic legal pronouncement makes it clear that women are not obliged to wear nikab - but rather this is a cultural issue within more conservative or radical interpretations of Islam (just like the west has some Christian right wackies) ',neutral
' It most certainly raised even more anti-Muslim sentiment but also more anti-French sentiment even amongst it own non-Christian communities ',negative
' The Germans have passed similar laws, much to the dismay of its large Turkish-Muslim population ',negative
' The Brits, famous for their true melting pot status amongst the Europeans, have began treading in this murky water ',neutral
' Not the ban on hijabs ',neutral
' The well integrated, but edgy Muslim community is not so happy about this ',negative
' And i\'m afraid it could get ugly 'negative
' He clearly stated that he feels the veils should go -- but that it should be over a period of time and from within the Muslim community ',neutral
' Not to mention that many Muslim women scholars are saying women should thank Jack Straw for this ',neutral
' What i do know is that there are many, many woman who absolutely voluntarily and willingly cover themselves with a headscarf for religious purposes ',neutral
' It is also true that many Muslim cultures in the world  oblige  their women to wear the veil ',neutral
' France says no head scarves, no nothing -- look like a sexy french school girl with your belly button hanging out ',neutral
' Turkey has a similar issue ',neutral
' Sarajevo now has a large female Turkish population coming to study here so they can wear what they wish ',neutral
' Bosnian Islam is very secular, and indeed seen by most European leaders as a model example of the type of Islam they want being taught in their increasing number of mosques and madressa\'s within the EU ',neutral
' The hijab is accepted and tolerated, as are the nikab wearers (which is an extremely small percentage of Muslim women) ',neutral
' The Muslims too have yet to seriously address the fears and concerns of  indigenous  white westerners - who have opened their doors from some of the worlds worst economically and socially oppressed societies 'negative
' This door has to swing both ways ',neutral
' Muslims too need to understand the fears and concerns of secular westerners who now have to deal with strict Islamic rules within their own communities 'negative
' If western women can run around half naked, can eastern women completely cover themselves ',neutral
' There is no black and white my friends ',neutral
' and look at each other eye to eye ',neutral
' i\'m EXTREMELY sad to say that it looks as though The Skyline Obscura will be on an indefinate hiatus as of this past Thursday ',negative
' Essentially, Christian is toggling with what direction, musically, he wants to pursue (whether that be skyline or not), whereas in light of the confustion, I (Mike) have decided to leave the project ',neutral
' With that, some of the new songs that never were will be posted shortly for those of you who want to hear it ',neutral
' Sorry for the letdown, and I can\'t speak for everyone else, but I\'d rather have this happen now than later ',negative
' (our individual pages are under the "members" section) ',neutral
' You\'ll all receive notices of any Skyline updates and/or updates of new projects involving anyone from TSO (past or pseudo-present) ',neutral
' Well, my MIL arrived yesterday ',neutral
' The one bad thing is that she got news this morning that her 21 y/o kitty, Aunt Becky, passed away last night ',negative
' She knew the kitty was not doing well (she hasn\'t been for a while now, but kept rallying), so it wasn\'t a shock at all, but still sad ',negative
' I think Aunt Becky was waiting for my MIL to leave yesterday for her trip here ',neutral
' Aagii, my MIL\'s neighbor, is of the Bear Clan and is very traditional in her ways ',neutral
' My SIL and niece came over yesterday afternoon to collect our great-nephew, Brandon ',neutral
' He wanted B to stay at least for today so that he had a day off to play with him ',neutral
' They still are not sure what is going on with the transplanted kidney as it appears to be "peeling like an onion", but his potassium and sugar and such are leveling out and he is feeling better ',positive
' Hey, how has everyone been lately ',neutral
' and there has been so much going on ',neutral
' Do you know the feeling ',neutral
' So last week was the Thanksgiving long weekend and it was sooo sweeeet ',positive
' My sister came back from university and it was (surprisingly) nice to spend time with her again! 'positive
' lol just kidding ',positive
' Anyways, on Monday I got to see some of my favourite people and that was really fun as well :) Go Augustine Inc. ',positive
' And I believe that God gave me this amazing opportunity for a specific reason and there\'s no way i\'m turning it down 'positive
' Please just pray for me and the trip and the other people who are going (i\'m not sure who yet so I shall keep it on the DL ',neutral
' lol) ',positive
' I just feel like we re all getting caught in the whirlpool of life (hehe what a funny term) and I just wanted to urge you guys to not forget about checking up on each other ',positive
' Sometimes, all we need is that little encouragement or motivation to get us going again ',neutral
' :D lol wow ',positive
' Besides from that random addition by my kooky self I hope you know what i\'m trying to get at, because I know for me, that\'s how it is. I need you guys to help me through ',neutral
' First of all, I would like to say that I am proud of myself ',positive
' What I completed in one day today, was not possible to me last week ',neutral
' I walked into my first period only to find a sub ',neutral
' I asked the sub if he did not mind my taking over, and of course he complied ',neutral
' So the bell rang, the sub introduced himself and I took over ',neutral
' I allowed them 10-15 minutes to finish up the work from yesterday before we began a new piece of literature ',neutral
' This was a very short reading so I gave the class an assignment to go along with the reading ',neutral
' The period ran smoothly under my direction most suprisingly to me. I actually liked being thrown into the situation without having prior knowledge 'positive
' On the other hand, I did know that today I was to teach a full period lesson to my freshmen for periods 3 &amp; 6 ',neutral
' I began my lesson by explaining what the term "mood" meant ',neutral
' To give them a better understanding of how "mood" works, I presented them with a paragraph that I wrote on the overhead ',neutral
' After I was done reading my paragraph, I had the students tell me what was the mood I had created ',neutral
' That was a segway into today\'s story ',neutral
' I gave a brief background on the author and the story before we began ',neutral
' After certain spots, I would have them go over plot summary just to make sure they were following along ',neutral
' After a discussion, I asked them to take out a piece of paper ',neutral
' They answered on their papers, then shared out as a class ',neutral
' Wow, I hardly ever have plans 'positive
' I went to the OVAC volleyball tournament this morning, and was gone almost all day, and i\'m going skating with one of my friends tonight ',neutral
' i\'m the libero tracker ',neutral
' And the parents  club decided to pay for our breakfasts, so I got a free buffet ',positive
' I tried to pay her back, but she wouldn\'t let me. So I got a free spiffin  sweet green tie-dyed OVAC shirt, too ',positive
' Today rocks ',positive
' I was gonna call my best friend and see if she wanted to go, but she wasn\'t there ',neutral
' She\'s not a skating-type person, though ',neutral
' we\'ll just have to drag her down to the rink one of these days, lol ',positive
' I love skating ',positive
' I always fall on my ass every five minutes, though ',neutral
' I outgrew my skates, and I don\'t like renting ',neutral
' o___ ',neutral
' What can I say ',neutral
' She\'s amazing ',positive
' Like, most definetely on my top favorite authors list ',positive
' In fact, there\'s only about three authors whose books I will buy, no matter the storyline ',neutral
' And yes, I read hundreds, thousands of books from other people ',neutral
' i\'m a writer ',neutral
' I love making up stories, retelling stories, and writing down everything ',positive
' I know that ',neutral
' And after reading Stephenie\'s story about how real her characters are ',neutral
' mine pretty much are bland ',negative
' The story leads me, not the people who grace the page ',neutral
' What they like to eat, what music they like, etc. And I don t! ',positive
' Sigh ',negative
' Well, I know that a lot of my LJ friends are writers, too ',neutral
' hm ',neutral
' Well, any advice on writing would be appreciated ',positive
' When ordering a tonic, you mean a Coke ',neutral
' You actually enjoy driving around rotaries ',positive
' You know how to pronounce the names of towns like Worcester, Billerica, Haverhill, Barre and Cotuit ',neutral
' You know that there are two Bulger brothers, and that they re both crooks ',negative
' You know what they sell at a packie ',neutral
' You can actually find your way around Boston ',neutral
' You know at least one guy named Sean, Pat, Whitey, Red, Bud or Seamus ',neutral
' You have never been to Cheers ',neutral
' The curse of the Bambino is taught in public schools ',negative
' You own a "Yankees Suck" shirt or hat ',negative
' You think Doug Flutie is the greatest athlete ever ',neutral
' You pray for the Red Sox to win the World Series not this season, but in your lifetime ',neutral
' You know that "Big Dig" is also a kind of ice cream you can get at Brigham\'s ',neutral
' You never go to "Cape Cod", you go "down the Cape" ',neutral
' You re aware that there is a town, somewhere in Massachusetts, named Brimfield where they have the biggest outdoor antique market in the world ',neutral
' You know that the Mass Pike is some sort of strange weather dividing line ',neutral
' You do not recognize the letter "R" as a part of the English language ',neutral
' You ve slammed on your brakes to deter a tailgater Know at least three Tony s, one Vinnie and a Frankie Paranoia sets in if you can\'t see a Dunkin Donuts, ATM or CVS within eyeshot at all times ',neutral
' year round You still try to order curly fries from Burger King You order iced coffee in January You know what candlepin bowling is You drive 45 minutes to New Hampshire to save $5 in sales tax You ve pulled out of a side street and used your car to block oncoming traffic so you can make a left ',neutral
' You ve bragged about the money you ve saved at The Christmas Tree Shop You know what a "regular" coffee is. You actually get these jokes and pass them on to other friends from Massachusetts ',positive
' So, ok, this happened like week before last, but I thought it was funny enough to mention today ',positive
' So Brandon and I were chilling out one night at home, after being out all night, and we decided to step out on the patio for a quick smoke ',positive
' Well, the new dog; Louis, went running out onto the patio and barking up a storm, as I stuck my head out, there sat this stupid young dude trying to break into my neighbor\'s (across the street) car ',negative
' 911 operator asked "Is it a white guy or a latin guy" ',neutral
' One cop came, he talked to me for two seconds and then drove down the street a second ',neutral
' This time, unfortunately, he\'d broken INTO the car already and was fishing things out ',negative
' I pick up my phone ON THE BALCONY and call the cops wihle i\'m walking behind this joker ',negative
' The cops come outta nowhere this time 'positive
' So 12 cops to investigate ONE car break in ',neutral
' So basically I ve met three new neighbors and we have like a community watch going on now ',neutral
' But now I feel much happier and safer, and the neighbors all love me.  Did I mention it was after 2am every time the break-in occurred ',positive
' They still love me, even though I woke them up at the butt-crack of dawn ',positive
' It\'s a beautiful thing ',positive
' =o)  Although I feel like I ve been on a really bad episode of  Law &amp; Order  now ',negative
' There are moments in our lives when we find ourselves at a crossroad ',neutral
' Afraid, confused, without a road map 'negative
' Of course, when faced with the unknown many of us would turn around and run back 'negative
' But once in a while, people push on ',neutral
' Into something better ',positive
' Something just beyond the pain of going on alone and just beyond the bravery and courage it takes to let someone in, or let them fade away ',negative
' And it\'s only when you re tested that you discover who you can be ',neutral
' My worst fears have been personified 'negative
' No dates ',neutral
' No nothing ',neutral
' I only know that it could be anytime within the next 60 days 'negative
' there\'s nothing else I can say or do to change the situation ',neutral
' Woot I finally got an ipod with video (30g) ',positive
' Its kinda bad because I was feeling really sad/unhappy the day I baught it ',negative
' But I ve been wanting it for like a year now, just never had the money, and never wanted to charge it ',neutral
' but oh I was a bad girl and put it on my best buy card ',negative
' I got a black one, and oooh its so sexy ',positive
' I got a leather case for it, but need to get some clear protective sheets for it too ',neutral
' Maybe a full case too, because the lil black pocket thing it came with is a little too snug, I have to force the lil bitch into it all the time ',negative
' HEY ',neutral
' ~Apple ipod sock ',neutral
' I lost 3 pounds this week ',neutral
' Eh 'positive
' its not that much but hey its something ',positive
' the season is changing ',neutral
' we had our first snowfall just the other day, the trees have gone to sleep and finally the walnuts have stopped falling on my garage roof and scaring me when i take my still lame dog out to take a shit before bed 'negative
' a lot of things have happened to me in the past six months, since the beginning of summer ',neutral
' three very dear friends of mine have lost very important people in their lives, and i have had to be the strong one they can lean on ',negative
' though i do not mind this one tiny bit it has been odd for me.  i\'m rarely the strong one 'positive
' i am usually the one reduced to laying on the big green couch in the fetal position eating leftover pizza and crying about nothing and everything all at once ',negative
' turns out it has just made me question pretty much everything that i thought i knew ',neutral
' didn\'t see that one coming 'positive
' well, maybe i do ',neutral
' but that scares me even more 'negative
' talk about a life change ',neutral
' i love him dearly and will forever, but i definately was not ready for that ',positive
' i find myself again, stuck in a place where i have to rediscover myself all over again ',neutral
' in  a word, lost ',negative
' i feel lost ',negative
' very disconnected to everyone and everything, not sure where to go from here ',negative
' but i don\'t want to admit that yet ',neutral
' so stay tuned ',neutral
' another two words for you: john hughes ',neutral
' gotta milk those quarter-life crises for all they re worth ',negative
' don\'t get another one for 25 more years ',neutral
' have a great idea for a new scarf ',positive
' want to get it done in time for the next snowfall ',neutral
' Well, I seem to have done that ',neutral
' I didn\'t mean to hurt this person at all ',negative
' I was just scared 'negative
' i\'m scared of my future 'negative
' I look ahead and I want to see me being a successful missionary/psychologist, married, with kids, and a great life ',positive
' However, it seems the decisions I have been making are hindering that ',neutral
' Un-happy people ',negative
' People everday get divorces, commit adultery and I don\'t want that ',neutral
' I don\'t want to get hurt ',negative
' *sighs*  I have a bad habit of hurting people before they can hurt me.  Like if I think that someone could and might hurt me then I hurt them first ',negative
' Then I think if I commit myself to this person only, what if i\'m missing out on someone else 'negative
' What if this isn\'t the right person for me and i\'m making a huge mistake 'negative
' But then I also think what if they are the right person ',neutral
' Some people say, "Katrina, do this," others say, "Katrina, do that. ',neutral
' I DON\'t KNOW!!!!!!!!! ',neutral
' i\'ll wait for God to show me what He wants me to do ',neutral
' I just have these moments when I start trying to do things without God and that never works ',neutral
' i\'ll post back when I get it ',neutral
' Welp today has been a long tiring day lol ',positive
' We lay him on our chest and he zonks out pretty fast and now hes so used to it he won\'t sleep in his crib or basinet so we have to find a way for him to sleep in the crib ',neutral
' Doctor says not to let them sleep on there belly for a while and thats the only way he sleeps good ',positive
' lol ',positive
' I need a nap though I will tell you that lol ',positive
' lol ',positive
' He sleeps most of the day and then never sleeps at night ',neutral
' Oh well I know its something that comes along with having a baby lol ',positive
' I will be glad when my mom gets here so we can go to wal-mart and then I can come back home and take a little nap ',positive
' I am not to thrilled about going over there ',neutral
' lol,and so we figgured we would just go to Six Flags ',positive
' HAHA ',positive
' thats what you get for rubbing it in my face that your 21 and im not! ',neutral
' LOL ',positive
' Our one year wedding anniversary, we had Landon this month,David\'s birthday today,other family members birthdays that are this month,halloween and tons of other stuff lol ',positive
' I still need to do laundry later and I need to do the dishes and then maybe just maybe I will get to lay down for a bit before he wakes upEhh prolly not lol Oh and for everyone that wants to see the baby if there is not a nice day coming up you may have to come to my house because its to cold for us to be taking him out in this weather,I don\'t need a sick baby along with my hundred other problems lol,that or you can come visit when we are over at my grandpas,other than that your s.o.l on seeing my lil stud muffin lol ',positive
' Maybe it is, I dunno ',neutral
' I am once again becoming an OT whore, which was originally to buy myself a new gun (Springfiled XD40 3" Subcompact) ',neutral
' The OT whoring now is to make enough to pay bills on time, not to buy new and fun things ',positive
' At least the price of gas is going down, $1.99 per gallon across the street now ',neutral
' The job is still just that ',neutral
' I have a new pic of Melissa and I, which I will post shortly ',neutral
' We just celebrated 3 great months on the 8th, and last night we carved pumpkins (she brought me a pumpkin, it was pretty sweet) ',positive
' Bagpiping got moved to one of our "together" nights, so that puts a small damper on the time we see each other for every week ',negative
' Oh well, at least we can make it work without lots of time ',neutral
' It\'s kinda far from where I am, but it is worth it ',neutral
' The shooting is unlimited for the most part between 8a and 10p ',neutral
' This is good for the odd hour shooter like me. Also, there is a 25 yd outdoor range, which accepts a variety of loads (shotgun, magnum, etc) ',positive
' The best part is, I shoot pretty well there, and the lighting is really good ',positive
' If anyone is interested, it\'s the Phillipsburg Pistol Club, and can be found on the web (just google it\'s name) ',neutral
' i\'ll write more later ',neutral
' We are starting to get some interesting inquiries ',positive
' I made contact with various Pentagon types who deal specifically with the USO and stand down concerts on a variety of military installations in California ',neutral
' Who knows where we will be playing in 2007 ',neutral
' In the mean time we have a huge private party in April booked and the Mateel Arts and Music Festival for June as well ',neutral
' Anyone who wants one I will send one ',neutral
' Ha ',positive
' Wouldn\'t that be a gig! ',neutral
' Leaving for Irvine on the 18th for Maiden ',neutral
' i\'m at Penn State for the weekend ',neutral
' But I love it ',positive
' Like thousands of people poured into the street last night for excitement ',positive
' Lots of people had sex ',neutral
' Tonight is the Michigan vs. PSU game ',neutral
' Maybe i\'ll put on some MAC ',neutral
' Wow ',positive
' Last night I had a long discussion at 4:30am about xanax addiction and molestation ',neutral
' I don\'t drink anymore ',neutral
' And this hair ',neutral
' That\'s a polite way of saying ',neutral
' your hair looks like shit Mary ',negative
' She has 4 boys staying her who attend West Point ',neutral
' They re cute ',positive
' So I toned down the performance and slept until right now ',neutral
' Everyone is gone and I just cleaned up, so now i\'m going to loosen up my buttons, take a long hot shower, put on my clothing and my adorable pea coat, and make my way downtown ',positive
' Disaster 'negative
' I almost died 'negative
' Look at me!  i\'m like Ellen on straight television ',neutral
' Oh and Ps. ',neutral
' Totally mine ',neutral
' The other week I was at Roxy with Robbie and company and the crack house came up ',neutral
' "How much you give me for this Bacon? ',neutral
' nevermind, I ve got an Arabic test I could be studying for ',neutral
' ones worth retelling ',neutral
' Within a week I bid on and won about 14 cookie jars ',positive
' They are just so cute I can\'t resist them although I think I am under control now ',positive
' I still have six that have not arrived yet ',neutral
' The lady at the post office is starting to laugh at me.  Where am I going to put them all ',positive
' I have only had one bad experience on Ebay so far ',negative
' One cookie jar was not packed well ',neutral
' It was broken ',neutral
' I emailed the seller and told him about it and he was very arrogant and rude ',negative
' Well, needless to say his packing job was far below any I have seen so far ',neutral
' I told him he was a f----ing a--hole and gave him a negative rating ',negative
' He in turn gave me a negative rating ',negative
' Man.  I just can\'t seem to keep out of trouble ',neutral
' And because I am such a perfectionist the negative rating had me bummed for awhile but now I am better ',negative
' I even sold a few things on Ebay ',neutral
' I see Frankie at the junkyard has several electric blankets ',neutral
' Will have to work on that enterprise ',neutral
' We have been staying pretty close to home but still having a good time ',positive
' It has finally cooled down a bit which is a big relief ',positive
' There always seems to be much to do around here and we don\'t seem to get much done ',neutral
' I love my "nap and story time with BooBoo every afternoon. ',positive
' That means I recline on the couch with a good book after lunch and BooBoo my cat is always stretched out on my lap ',neutral
' Then he wants to put in an underground sprinkler system before we plant grass in front ',neutral
' It just all takes time and money ',neutral
' Well, must go put dinner in the oven ',neutral
' Today I also made a devils food bundt cake with chocolate chip glaze ',neutral
' Y all have a good night ',neutral
' Oh shit, day by day update ',negative
' So, I love 4 day weeks of school, I really do ',positive
' Thursday ',neutral
' Then later hung out with some loser until like 12 ',neutral
' Chels and I cleaned my room, which was much needed ',neutral
' I came home and got my stuff together to go up to the kid\'s camp ',neutral
' First off, it\'s a hike to get up to this place, and I can\'t see worth shit in the dark ',negative
' We were up there for awhile and Idk why or how, but Ryan pushed me off of this bench and I fell flat on my back scraping my hip up, which hurts ha ',negative
' Then they were cutting this damn tree down, and they made me go with then by dragging me over since I didn\'t want to go, and when I tried to sneak away ',negative
' I guess I walked behind Ryan right when he swung this huge ass AXE and he swung it right into my face ',negative
' Not only all that, I ended up calling Aubrey, and ending up balling like a baby, because I really do miss her and everything we used to have ',negative
' Even after getting off the phone with her, I balled forever ',negative
' Plus, I didn\'t eat anything at all yesterday, and I ended up getting really sick ',neutral
' It was real lame ',negative
' Ehh Other than that it was a good time ',positive
' Today, Chels made me a sandwhich since she loves me, and I had some soup so I feel better ',positive
' i\'m going out for a little tonight, and then i\'m gonna see if Ash and Beck want to stay ',neutral
' It all started a month ago in kickboxing class (at least that part sounds way cool. ',neutral
' Yeah, I know, right up there with Custer laughing off a few measly Indians ',positive
' Anyway, I get home and notice my knee feels kinda tight ',neutral
' But after a month, that hasn\'t really happened ',neutral
' But my beloved G.P., who usually just prescribes stuff for me over the phone, starts throwing around words like "orthopedic," "surgery," and "x-rays" and I start thinking, "oh shit! ',negative
' Of course once he says the magic words ("degenerative arthritis" and "not uncommon AT MY AGE") I do a total brain freeze and hear pretty much nothing afterwards ',neutral
' So what\'s a girl to do to cheer herself up ',positive
' So i\'m old, but I have these really cute Etienne Aigner boots to show for it ',positive
' My gene pool used to lie before me like a pretty lake and I rarely gave it much thought ',positive
' Well, you know what ',neutral
' In the last fifteen years ',neutral
' job, wife, two kids, house, car ',neutral
' the path that society lays down for people like me ',neutral
' the times I have felt most free, most alive ',positive
' the times we have been at our best, have shone brightest ',positive
' skipped a line or a page or an act ',neutral
' read sections backwards ',neutral
' or just set fire to the whole thing and made it up as we ve gone along ',negative
' This is me, my self-fashioned self ',neutral
' This happened again today ',neutral
' Sucks for Levon but he said he wouldn\'t let me drive with the trailer anyways ',negative
' Plus, this means I can get my drivers license in AZ which means it will be good for 65 years! ',positive
' I know I can drive that\'s not my problem I just need to study more for the written ',neutral
' HAPPY BIRTHDAY JAMIE! ',positive
' But i\'m free til  Aug. 31st ',neutral
' Everybody call me. Just letting you all know I suck at at tests ',negative
' first: heh heh  heh, so appropriate fer me ',positive
' "I dunno, press the button and find out. ',neutral
' i leave for london in NINE DAYS ',neutral
' couldn\'t the fucking terrorists decide to get caught, you know, after i landed ',negative
' they had to be stupid terrorists and think in their fundementalist clouded minds that they\'d change the world ',negative
' or convert everyone to Islam, or just blow you up one by one in a fucking plane, train, or automobile ',negative
' let me calculate how long that\'ll take with current rates of reproduction and the current world population ',neutral
' so fuck off ',negative
' so far, all you ve done is to cause international travellers the annoyance of having to hand over their toothpaste and make sure their baby\'s formula isn\'t nitroglycerin by drinking some ',negative
' you ve killed less people in the last six years than we did to ourselves in a week in 1916 ',negative
' so fuck off ',negative
' if you read history instead of fucking dogma all the god damn time you\'d realize we re perfectly capable of raining destruction upon ourselves in a very effective manner, thank you very much ',negative
' we do it much better anyway ',neutral
' how about you ignore us, we\'ll ignore you, you all can go to heaven and we can all be infidels and suffer through our evil ',negative
' the state of our souls ',neutral
' what do you care if all ours are all bad ',negative
' the quota might drop to 45 or something ',neutral
' i\'m being a little flippant here, but i\'m sure you get the point ',negative
' oh right, i forgot, that\'s a no go area either ',neutral
' you may think yer winning, but yer not ',neutral
' because you are ANNOYING US ',negative
' which is worse than pissing us off ',negative
' because when you piss us off, we have to used measured restraint ',negative
' we have to be diplomatic ',neutral
' when you annoy us long enough NO ONE WILL CARE ABOUT RESTRAINT ',negative
' we\'ll just let our governments do whatever the fuck they want because we want to brush our fucking teeth on a plane after some really bad airplane food ',negative
' never underestimate the power of wide spread apathy and annoyance ',negative
' i am a rational, intelligent, rather well informed individual ',neutral
' AND i\'m ANNOYED ',negative
' in nine days i will spend probably 5-6 hours in aiports, whereas, 10 years ago ',neutral
' why must i show up three hours early for my flight ',neutral
' its your fault, it really is.  so when i\'m standing in line, or waiting around, i\'ll be thinking of you ',negative
' trying to keep my rational and logical mind from straying to bad thoughts about how stupid the human race is and how religion is nothing but trouble ',negative
' and try and sympathize with those being racially profiled ahead of me and making for an even longer wait in line ',negative
' fuck off ',negative
' The job was frustrating today ',negative
' Well, actually, I have to be, BUT ',neutral
' it\'s annoying as all get out ',negative
' he\'ll be like ',neutral
' but I sent in a check 3 weeks ago ',neutral
' I look up the address he mumbles to me and see that no payment has come in for 5 months ',neutral
' Then they throw a little hissy fit for 5 minutes as I repeat myself over and over ',negative
' And then they hang up ',neutral
' And then I get an equally obnoxious call ',negative
' This happened an unhealthy amount today ',negative
' So ',neutral
' But really, Ive only had the job a few weeks ',neutral
' That never happened ',neutral
' And then the dispatcher was all pissy with me over some redelivery shenanigans I was doing wrong ',negative
' I saw Phil ',neutral
' We sat outside on his porch ',neutral
' Talking about running into ongoing traffic and killing himself, and doing weed ',negative
' Sheldon and I told him to shut up ',negative
' He got up and said he doesn\'t have to take this from us and was especially angry at me. I was a mega bitch to him ',negative
' I tried to control myself ',neutral
' He was so good-looking ',positive
' He has a new eye brow piercing ',neutral
' Words like that made me and Phil stop smiling, look straight at Sheldon, and say "shut up" at the same time ',negative
' It\'s still too soon to make those comments ',neutral
' Hell, NEVER make them ',negative
' Because he knew I needed the reaction ',neutral
' A couple of times Sheldon would say things to him and he would get angry and tell him to shut up ',negative
' haha ',positive
' I let him slip ',neutral
' He didn\'t want to make eye contact with me, but we made eye contact a lot ',neutral
' It was brief, and every single time, we would smile ',positive
' And I didn\'t try to touch him ',neutral
' The whole way there he was grabbing onto poles and screaming like a banshee and his friend Johnny (who came along) got a swift punch in the nuts from Phil ',negative
' I asked Phil, "what the hell are you doing?" and he looked angrily at me. Like I did anything wrong ',negative
' Was I wrong to be taken aback by that? 'positive
' No ',neutral
' I started talking to him about why he was so mad, and he said "you called me retarded", and I explained that he was being a prick ',negative
' And he said that since he started drugs, he\'s a prick ',negative
' And that it\'s him now ',neutral
' He "whatever"ed me. UGH ',negative
' I told him he didn\'t lose me, and he just looked at me and didn\'t say a word ',neutral
' You just don\'t show it anymore. ',neutral
' Phil walked away quickly ',neutral
' They followed, but Daniel took two minutes to look back at me. I was angry ',negative
' My facial expression was beyond hurt ',negative
' "Yeah, i\'m going to go home. ',neutral
' "No, i\'m going to go. ',neutral
' "Is it really that hard to tell? ',neutral
' I know I shouldn\'t have been snotty about it but I thought it was fucking obvious ',negative
' I called home to as my mom for a ride but she said she was busy, I WAS NEAR CRYING AND SHE WAS "BUSY" ',negative
' Like 10 minutes into walking home aaron pulled up to drive me home ',neutral
' We hung out in his car for the rest of the day talking and laughing ',positive
' ive missed it so ',negative
' the trip was fantastic, plimoth was old and there were real live pilgrims everywhere, salem was cute and adorable but very touristy, ithaca was gorgeous and adorable and joel was there so the whole thing made me very happy and clearly that was the highlight of the trip, niagara was fantastically beautiful but boring once you ve seen the falls, buffalo was sketchy but had great wings and now im home, and i think it\'s the most wonderful place ive ever been and i dont ever want to leave ',positive
' well, give me two weeks and i\'ll be out of here but for now, it\'s good ',positive
' it was wonderful to be away from home but it is indeed wonderful to be back ',positive
' i had a lot of time to myself in the car which i used ',neutral
' i felt particularly inspired a few hours after we left ithaca becos i had finally finished stone garden and reading that book always sends me into great fits of creation ',positive
' maybe i\'ll share some day, and maybe i wont ',neutral
' the only thing im sure of at this moment in time is that life is beautiful and i am just so satisfied and so content ',positive
' but for now im going to go experience how fabulous the night sky smells ',positive
' good bye : ',neutral
' Work is going well I suppose, most people are nice and I ve been warned of which ones are better to avoid ',positive
' They re starting to put me in other parts of the store, which is kind of nifty ',positive
' I ve been having random fears and doubts lately, but that happens 'negative
' I suppose there\'s been a fair amount of drama, including some with my ex Sadie ',negative
' I went to her house a couple days ago and kind of figured we\'d easily be back together, but there seem to be a number of things in the way ',neutral
' It\'ll turn out one way or another ',neutral
' As always ',neutral
' Woot ',positive
' Yeah ',neutral
' Later ',neutral
' But I, with my mad Photoshop skills, was able to convert it to the corect color space while faithfully maintaining the appearence and detail of the image, including the gradations ',negative
' And I did it in about 10 minutes ',neutral
' i\'m the man ',positive
' P.S. If you don\'t understand exactly what I did (it\'s a bit technical), just know that it was impressive and I rock ',positive
' So it\'s Friday night and here I am in front of the computer screen ',neutral
' We decided we\'d watch as much episodes as possible and also made a promise none of us would use the computer ',neutral
' But anyway, so we watched tv during the morning and when 4pm came by, we decided to do laundry and play Burnout 3; I beat his ass ',positive
' LOL ',positive
' Then, my parents came home and I deicided I\'d make donoughts ',neutral
' I guess today was somewhat fun, considering I spent the day with my younger brother ',positive
' But other than that, I feel really alone right now because it\'s Friday and i\'m home ',negative
' I haven\'t really been going out much and it just makes me mad since I told myself this summer I\'d make the best of it since I\'d be going to university in September ',negative
' Gosh, in exactly one month school\'s going to start and boy am I nervous 'negative
' Do your job and do it well- and it will speak volumes for you ',neutral
' Congratulations- and Welcome to Corporate America- where the Vice Presidents and Senior Officers and Managers don\'t hibernate-- they walk among you ',positive
' I love it ',positive
' i\'m focused ',neutral
' I have a 99 average in my class ',positive
' i\'m LOVING the call center ',positive
' When your Trainer comes into the room all smiles after lunch and announces that she moved up ONE level- (From ABT Trainer 1 to ABT Trainer 2) and got a $10,000 salary increase ',positive
' Think i\'ll stay at AFLAC ',neutral
' It makes me sick that my trainer is 24 ',negative
' I could be an IT Specialist V in 4 years ',neutral
' The advancement opportunities are just awesome ',positive
' The sole stipulation: Do your time first ',neutral
' Spend 1 year answering calls for the Claims spread- and then be free to go to where-ever your heart desires ',positive
' Just move somewhere else ',neutral
' I want that ',neutral
' I want a family ',neutral
' I ve been staying at Mary\'s house and she keeps telling me I\'d be an awesome mommy ',positive
' Yeah- I really would ',neutral
' I see everyday just how much good that company does ',positive
' (The AFLAC All-American Baseball Classic) ',neutral
